File,FAQ_Number,Question,Answer,AskAngela Response
oldnewregime.txt,18,Where can I find more detailed information on tax calculation?,"This document provides a sample tax calculation demonstrating the potential savings in the New Regime. For more precise calculations based on your unique circumstances, consult a tax professional or use income tax software.",The policies do not mention specific information about where to find more detailed information on tax calculation. I'm unable to provide details on this particular question.
oldnewregime.txt,19,What are the responsibilities of the employee regarding tax compliance?,Employees are responsible for accurately reporting their income and selecting the appropriate tax regime.  They should maintain records to support their deductions and claims and file their tax returns according to the stipulated deadlines. Failure to comply may result in penalties.,"Employees have several responsibilities regarding tax compliance:

- They must fully comply with all provisions of existing local, state, national, and international *laws*, *rules*, and *regulations* related to the business.
- Perquisite tax is mandatory to pay as mandated by the Government of India under the *Income Tax Act*.
- Employees need to pay perquisite tax by the 6th till 8 pm of the next month from the month of their exercise.
- For *Tax filing process*, employees must report perquisite tax as *Capital Gains* in the *ITR* and pay tax on such income with the assistance of their own *Chartered Accountant*."
oldnewregime.txt,20,What are the potential penalties for non-compliance?,"Penalties for non-compliance with tax regulations can include interest charges, fines, and even legal action.  Specific penalties depend on the nature and severity of the violation.  It's crucial to understand and adhere to all relevant tax laws and regulations.","Non-compliance can lead to various consequences, including:

- *Disciplinary actions* such as *warnings*, *retraining*, or *termination* for failure to complete mandatory training modules within the specified timeframe.
- Initiation of *disciplinary action*, which can include *termination of employment*.
- Imposition of *penalties*.
- Attraction of *appropriate sanctions*."
ONBOARDINGFAQs.txt,1,What is the Angel One onboarding process like?,"Angel One's onboarding is fully digital, designed to be smooth and simple.  Much of the process is completed before your first day, including IT asset allocation and team introductions.  You'll be well-prepared to begin working immediately.","The Angel One onboarding process is described as *smooth, simple, and fully digital*. Most formalities are completed before your first day, ensuring you receive your IT assets, meet your team, and understand what to expect from your Induction ahead of time.

The process includes:
- *The Screening Stage*: This involves reviewing your track record, alignment with Angel One values, and conduct/disciplinary history.
- *The Deep Dive*: This stage may include multiple interviews, assessments, and reference checks.

On *Day 1*, you will attend a virtual Induction session via Zoom to learn about the company, its values, and tools. If you are required to work from the office on your joining day, you should arrive by 9 AM to attend the Induction starting at 9:30 AM. Ensure your onboarding form is approved by the Onboarding SPOC before your joining date."
ONBOARDINGFAQs.txt,2,Who is responsible for managing my onboarding?,A dedicated onboarding team within Human Resources & Learning will guide you. You'll also have a designated onboarding Single Point of Contact (SPOC) and your Reporting Manager to answer questions.,"Your onboarding will be managed by the dedicated *onboarding team*, which is part of the *Human Resources & Learning department*.

For any queries, you can reach out to your *onboarding SPOC* or email employee.onboarding@angelone.in."
ONBOARDINGFAQs.txt,3,How can I contact someone if I have work-related questions before my start date?,Contact your Reporting Manager. Their contact details are available on the onboarding platform homepage.,"If you have any work-related queries during your pre-joining phase, you can reach out to your *Reporting Manager*. Their contact details are available on the home page of the onboarding platform."
ONBOARDINGFAQs.txt,4,What is the official method of communication before and after I join?,"Before your start date, communication will be via your personal email. On your first day, you will receive your official Angel One email address, and all future communication will use that address.","Before you join Angel One, the official method of communication is your *personal email*. This is where you will receive all important information leading up to your first day.

Once you join and your official Angel One email ID is activated on Day 1, all future communication will shift to your *official email*. Additionally, within Angel One, communication also occurs via *Slack Messages* and *Microsoft Teams*."
ONBOARDINGFAQs.txt,5,Who will support me during my first few days?,A work buddy ('Angelite') will be assigned to assist you. You'll receive their details via your company email on your first day.,A *work buddy* will be assigned to you to support you during your initial days in the organization. You will receive their details on your company email ID on your date of joining.
ONBOARDINGFAQs.txt,6,Can I change my start date?,"Yes, contact your recruiter or HR at least two days before your scheduled start date.","Yes, you can request a change to your start date. To do this, you should reach out to the Recruiter or HR. It is preferable to do this at least 2 days prior to your original joining date."
ONBOARDINGFAQs.txt,7,How is my personal information populated on the onboarding form?,"Your name is taken from your resume, and other details are pre-filled from your pre-offer form.  All fields are editable.","Your personal details, including your First Name, Last Name, and other information, are *auto-filled* on the onboarding form.

- Your name is taken from your *resume*.
- Other details are picked up from your *pre-offer form*."
